Id,SalePrice
1001,185005
1002,91005
1003,172505
1004,143005
1005,192505
1006,185005
1007,185005
1008,75005
1009,185005
1010,127505
1011,185005
1012,118863
1013,91005
1014,139005
1015,91005
1016,197005
1017,185005
1018,140005
1019,185005
1020,192505
1021,155005
1022,233235
1023,135005
1024,192505
1025,190005
1026,117505
1027,185005
1028,248905
1029,133005
1030,113005
1031,140005
1032,185005
1033,290005
1034,185005
1035,91005
1036,107505
1037,185005
1038,233235
1039,91005
1040,75505
1041,139005
1042,140005
1043,207505
1044,348005
1045,185005
1046,185005
1047,233235
1048,156005
1049,185005
1050,107505
1051,172505
1052,181005
1053,176005
1054,155005
1055,233235
1056,140005
1057,189005
1058,173905
1059,173905
1060,185005
1061,185005
1062,91005
1063,140005
1064,91005
1065,185005
1066,187005
1067,168005
1068,187005
1069,185005
1070,100005
1071,185005
1072,155005
1073,91005
1074,185005
1075,172505
1076,140005
1077,185005
1078,125005
1079,140005
1080,136505
1081,140005
1082,135005
1083,185005
1084,149005
1085,185005
1086,148005
1087,88005
1088,266005
1089,130005
1090,316605
1091,87505
1092,155005
1093,185005
1094,185005
1095,120005
1096,185005
1097,140005
1098,140005
1099,135005
1100,185005
1101,39305
1102,79505
1103,135005
1104,140005
1105,151005
1106,173905
1107,185005
1108,233235
1109,172405
1110,185005
1111,185005
1112,205005
1113,135005
1114,135005
1115,110005
1116,285005
1117,180005
1118,133905
1119,91005
1120,135005
1121,137005
1122,221505
1123,60005
1124,116505
1125,185005
1126,120505
1127,172505
1128,233235
1129,225005
1130,135005
1131,185005
1132,79505
1133,106005
1134,173905
1135,185005
1136,91005
1137,135005
1138,135005
1139,185005
1140,185005
1141,110005
1142,187005
1143,233235
1144,67005
1145,79505
1146,91005
1147,185005
1148,188705
1149,110005
1150,139005
1151,79505
1152,185005
1153,140005
1154,100005
1155,135005
1156,185005
1157,187005
1158,207505
1159,172505
1160,187005
1161,148505
1162,185005
1163,185005
1164,135005
1165,148005
1166,185005
1167,185005
1168,192005
1169,185005
1170,755005
1171,125005
1172,185005
1173,151005
1174,185005
1175,140005
1176,82505
1177,136505
1178,91005
1179,113005
1180,107505
1181,185005
1182,235005
1183,755005
1184,91005
1185,185005
1186,60005
1187,160005
1188,185005
1189,173905
1190,197005
1191,185005
1192,155005
1193,91005
1194,162005
1195,135005
1196,173905
1197,233235
1198,140005
1199,185005
1200,125005
1201,79505
1202,173905
1203,91005
1204,185005
1205,156005
1206,185005
1207,139005
1208,214005
1209,185005
1210,173905
1211,194505
1212,185005
1213,91005
1214,91005
1215,136505
1216,133905
1217,185005
1218,184905
1219,82005
1220,113005
1221,117505
1222,120005
1223,185005
1224,243005
1225,173905
1226,137505
1227,173905
1228,185005
1229,501842
1230,185005
1231,135005
1232,135005
1233,90005
1234,185005
1235,135005
1236,91005
1237,197005
1238,225005
1239,159005
1240,197005
1241,173905
1242,172505
1243,137505
1244,372407
1245,168005
1246,185005
1247,197005
1248,148005
1249,140005
1250,79505
1251,185005
1252,172505
1253,100005
1254,185005
1255,180005
1256,91005
1257,185005
1258,79505
1259,173905
1260,156005
1261,185005
1262,136505
1263,135005
1264,91005
1265,146005
1266,165005
1267,140005
1268,253298
1269,475005
1270,185005
1271,185005
1272,185005
1273,185005
1274,185005
1275,185005
1276,91005
1277,91005
1278,158005
1279,184905
1280,102781
1281,214005
1282,185005
1283,185005
1284,135005
1285,91005
1286,79505
1287,125005
1288,185005
1289,189005
1290,233235
1291,143005
1292,88005
1293,106005
1294,185005
1295,100005
1296,135005
1297,185005
1298,140005
1299,184755
1300,155005
1301,173905
1302,91005
1303,348005
1304,221505
1305,130005
1306,185005
1307,202670
1308,156005
1309,125005
1310,185005
1311,185005
1312,184905
1313,239005
1314,233235
1315,79505
1316,176005
1317,233235
1318,172505
1319,205005
1320,136505
1321,167005
1322,91005
1323,236005
1324,79505
1325,372505
1326,60005
1327,140005
1328,116505
1329,160005
1330,185005
1331,250005
1332,148005
1333,120505
1334,66505
1335,91005
1336,185005
1337,185005
1338,160005
1339,214905
1340,136505
1341,124505
1342,159005
1343,233235
1344,91005
1345,173905
1346,79505
1347,185005
1348,377431
1349,185005
1350,79505
1351,154305
1352,140005
1353,185005
1354,185005
1355,205005
1356,158005
1357,100005
1358,185005
1359,168505
1360,233235
1361,91005
1362,233235
1363,185005
1364,140005
1365,151005
1366,226005
1367,173905
1368,91005
1369,140005
1370,185005
1371,139005
1372,153005
1373,173905
1374,386255
1375,239905
1376,201005
1377,91005
1378,185005
1379,100005
1380,170005
1381,67005
1382,195005
1383,140005
1384,185005
1385,91005
1386,91005
1387,185005
1388,139005
1389,374005
1390,91005
1391,214005
1392,185005
1393,143005
1394,140005
1395,172505
1396,325005
1397,185005
1398,91005
1399,155005
1400,91005
1401,100005
1402,192005
1403,172505
1404,197005
1405,110005
1406,235005
1407,129505
1408,129505
1409,135005
1410,185005
1411,91005
1412,91005
1413,87505
1414,285005
1415,185005
1416,172505
1417,91005
1418,348005
1419,125005
1420,185005
1421,185005
1422,140005
1423,140005
1424,158005
1425,185005
1426,125005
1427,233235
1428,135005
1429,110005
1430,175505
1431,173905
1432,185005
1433,185005
1434,185005
1435,125005
1436,140005
1437,185005
1438,377431
1439,139005
1440,158005
1441,185005
1442,141005
1443,426005
1444,91005
1445,185005
1446,135005
1447,135005
1448,233235
1449,79005
1450,84505
1451,135005
1452,264137
1453,125005
1454,125005
1455,189005
1456,172405
1457,180005
1458,164005
1459,185005
1460,140005
